Time (s),Vocal Tract Length (cm),f1 (Hz),f2 (Hz)
0.0000,9.78,876.71,2911.94
0.6100,27.39,313.11,5166.34
0.6200,21.07,407.05,5166.34
1.1600,39.12,219.18,6043.05
1.1700,68.47,125.24,11459.88
1.1900,54.77,156.56,11491.19
1.2000,68.47,125.24,11553.82
1.2300,54.77,156.56,8547.95
1.2400,39.12,219.18,14465.75
1.2500,68.47,125.24,11428.57
1.2600,54.77,156.56,8798.43
1.2700,68.47,125.24,2786.69
1.2800,30.43,281.80,9831.70
1.2900,21.07,407.05,6763.21
1.3000,14.41,594.91,6637.96
1.3100,13.04,657.53,6825.83
1.3200,13.69,626.22,7013.70
1.3300,15.21,563.60,6951.08
1.3400,13.69,626.22,6982.39
1.3500,13.04,657.53,7170.25
1.3600,11.91,720.16,7264.19
1.3700,11.91,720.16,7107.63
1.3800,11.91,720.16,7076.32
1.3900,12.45,688.85,7076.32
1.4000,12.45,688.85,6575.34
1.4100,11.91,720.16,9863.01
1.4200,11.41,751.47,6544.03
1.4300,11.41,751.47,6606.65
1.4400,11.41,751.47,6919.77
1.4500,12.45,688.85,7545.99
1.4600,30.43,281.80,2348.34
1.6200,39.12,219.18,2630.14
1.6300,30.43,281.80,2598.83
1.6400,91.29,93.93,8109.59
1.6500,39.12,219.18,7639.92
1.6600,34.23,250.49,7953.03
1.6700,34.23,250.49,8109.59
1.6800,39.12,219.18,14465.75
1.6900,39.12,219.18,14434.44
1.7000,34.23,250.49,6011.74
1.7100,34.23,250.49,2630.14
1.7200,34.23,250.49,2724.07
1.7300,39.12,219.18,11209.39
1.7400,45.64,187.87,14465.75
1.7900,7.82,1095.89,5135.03
1.8000,7.82,1095.89,5197.65
1.8100,7.82,1095.89,5103.72
1.8200,7.61,1127.20,5228.96
1.8300,7.82,1095.89,5354.21
1.8400,8.05,1064.58,6105.68
1.8500,8.30,1033.27,5416.83
1.8600,8.30,1033.27,4915.85
1.8700,8.05,1064.58,4446.18
1.8800,8.30,1033.27,4821.92
1.8900,30.43,281.80,6763.21
1.9000,24.90,344.42,6669.28
1.9100,24.90,344.42,10739.73
1.9200,24.90,344.42,6262.23
1.9300,24.90,344.42,6293.54
1.9400,24.90,344.42,6199.61
1.9500,24.90,344.42,6450.10
1.9600,27.39,313.11,6606.65
1.9700,24.90,344.42,6575.34
1.9800,27.39,313.11,6669.28
1.9900,27.39,313.11,6544.03
2.0000,30.43,281.80,6606.65
2.0100,27.39,313.11,6731.90
2.0200,27.39,313.11,6606.65
2.0300,39.12,219.18,10677.10
2.0400,54.77,156.56,10739.73
2.0500,34.23,250.49,6700.59
2.0600,34.23,250.49,6857.14
2.0700,39.12,219.18,10896.28
2.0800,39.12,219.18,11209.39
2.0900,34.23,250.49,14434.44
2.1000,39.12,219.18,6356.16
2.1100,39.12,219.18,6512.72
2.1200,30.43,281.80,6575.34
2.1300,30.43,281.80,6606.65
2.1400,30.43,281.80,6763.21
2.1500,30.43,281.80,6763.21
2.1600,34.23,250.49,6512.72
2.2000,34.23,250.49,3287.67
2.2100,30.43,281.80,3819.96
2.2200,27.39,313.11,3788.65
2.3600,34.23,250.49,2661.45
2.4000,91.29,93.93,2724.07
2.4500,45.64,187.87,6919.77
2.4600,39.12,219.18,6074.36
2.4700,54.77,156.56,5636.01
2.5100,68.47,125.24,5792.56
2.5200,45.64,187.87,6011.74
2.5300,39.12,219.18,6074.36
2.5400,39.12,219.18,2849.32
2.5500,45.64,187.87,2786.69
2.6100,30.43,281.80,2849.32
2.6200,54.77,156.56,2567.51
2.7500,39.12,219.18,2473.58
2.7600,34.23,250.49,2536.20
2.7700,54.77,156.56,5823.87
2.8000,54.77,156.56,5855.19
2.8100,39.12,219.18,6074.36
2.8200,39.12,219.18,8704.50
2.8300,54.77,156.56,8516.63
2.8400,45.64,187.87,8767.12
2.8500,45.64,187.87,2473.58
2.8600,45.64,187.87,2504.89
2.8700,45.64,187.87,2567.51
2.8900,91.29,93.93,2567.51
2.9300,68.47,125.24,2473.58
3.1500,21.07,407.05,4696.67
3.1600,19.56,438.36,6575.34
3.1700,19.56,438.36,5103.72
3.1800,18.26,469.67,8454.01
3.1900,18.26,469.67,14340.51
3.2000,18.26,469.67,14058.71
3.2100,19.56,438.36,11240.70
3.2200,19.56,438.36,8767.12
3.2300,22.82,375.73,8954.99
3.2400,22.82,375.73,4258.32
3.2500,22.82,375.73,10426.61
3.2600,27.39,313.11,6731.90
3.2700,24.90,344.42,6637.96
3.2800,22.82,375.73,6262.23
3.2900,24.90,344.42,6324.85
3.3000,24.90,344.42,5980.43
3.3100,24.90,344.42,5917.81
3.3200,22.82,375.73,14309.20
3.3300,21.07,407.05,8798.43
3.3400,19.56,438.36,8829.75
3.3500,18.26,469.67,8673.19
3.3600,18.26,469.67,6199.61
3.3700,18.26,469.67,6418.79
3.3800,17.12,500.98,6606.65
3.3900,17.12,500.98,6606.65
3.4000,17.12,500.98,6606.65
3.4100,17.12,500.98,6700.59
3.4200,18.26,469.67,6637.96
3.4300,19.56,438.36,6575.34
3.4400,19.56,438.36,6606.65
3.4500,18.26,469.67,6669.28
3.4600,17.12,500.98,6575.34
3.4700,16.11,532.29,6544.03
3.4800,15.21,563.60,6512.72
3.4900,13.69,626.22,6512.72
3.5000,13.69,626.22,6575.34
3.5100,14.41,594.91,6230.92
3.5200,13.04,657.53,5698.63
3.5300,11.91,720.16,2254.40
3.5400,11.91,720.16,5917.81
3.5500,12.45,688.85,6450.10
3.5600,11.91,720.16,6105.68
3.5700,11.91,720.16,2473.58
3.5800,11.91,720.16,2504.89
3.5900,11.91,720.16,2379.65
3.6000,12.45,688.85,6011.74
3.6100,11.91,720.16,5917.81
3.6200,11.41,751.47,5917.81
3.6300,10.95,782.78,6043.05
3.6400,10.53,814.09,5917.81
3.6500,10.95,782.78,5855.19
3.6600,11.91,720.16,5855.19
3.6700,12.45,688.85,5667.32
3.6800,13.69,626.22,5542.07
3.6900,13.69,626.22,5479.45
3.7000,14.41,594.91,5479.45
3.7100,15.21,563.60,5510.76
3.7200,21.07,407.05,5573.39
3.7300,45.64,187.87,9956.95
3.7900,34.23,250.49,10363.99
3.8000,27.39,313.11,5009.78
3.8100,24.90,344.42,5103.72
3.8200,10.95,782.78,5135.03
3.8300,10.95,782.78,5197.65
3.8400,13.04,657.53,4477.50
3.8500,14.41,594.91,5041.10
3.8600,14.41,594.91,5322.90
3.8700,10.95,782.78,5354.21
3.8800,12.45,688.85,4915.85
3.8900,14.41,594.91,4477.50
4.0500,18.26,469.67,9831.70
4.0600,13.69,626.22,2379.65
4.0700,18.26,469.67,2598.83
4.0800,54.77,156.56,2692.76
4.0900,68.47,125.24,2536.20
