Time (s),Vocal Tract Length (cm),f1 (Hz),f2 (Hz)
0.7500,26.08,328.77,1682.97
0.7600,10.85,790.61,1651.66
0.7700,39.12,219.18,884.54
0.7800,30.43,281.80,853.23
0.7900,35.34,242.66,790.61
0.8000,36.52,234.83,774.95
0.8100,37.77,227.01,767.12
0.8200,39.12,219.18,767.12
0.8300,39.12,219.18,790.61
0.8400,37.77,227.01,829.75
0.8500,36.52,234.83,837.57
0.8600,35.34,242.66,837.57
0.8700,35.34,242.66,767.12
0.8800,35.34,242.66,712.33
0.8900,35.34,242.66,1612.52
0.9000,35.34,242.66,1471.62
0.9100,36.52,234.83,1307.24
0.9200,37.77,227.01,1001.96
0.9300,37.77,227.01,1182.00
0.9400,34.23,250.49,1268.10
0.9500,36.52,234.83,1135.03
0.9600,36.52,234.83,1056.75
0.9700,36.52,234.83,1048.92
0.9800,35.34,242.66,954.99
0.9900,36.52,234.83,868.88
1.0000,34.23,250.49,1808.22
1.0100,34.23,250.49,2230.92
1.0200,34.23,250.49,1589.04
1.0300,33.20,258.32,2958.90
1.0400,30.43,281.80,1369.86
1.0500,28.83,297.46,1432.49
1.0600,27.39,313.11,1463.80
1.0700,29.61,289.63,1471.62
1.0800,31.30,273.97,1479.45
1.0900,34.23,250.49,1479.45
1.1000,36.52,234.83,1455.97
1.1100,36.52,234.83,1377.69
1.1200,27.39,313.11,1338.55
1.1300,21.07,407.05,1322.90
1.1400,33.20,258.32,2270.06
1.1500,33.20,258.32,884.54
1.1600,28.09,305.28,1001.96
1.1700,26.72,320.94,1041.10
1.1800,28.83,297.46,1048.92
1.1900,32.22,266.14,1064.58
1.2000,34.23,250.49,1095.89
1.2100,28.09,305.28,1158.51
1.2200,33.20,258.32,1174.17
1.2300,36.52,234.83,1182.00
1.2400,36.52,234.83,954.99
1.2500,27.39,313.11,1330.72
1.2700,35.34,242.66,782.78
1.2800,33.20,258.32,641.88
1.2900,34.23,250.49,681.02
1.3000,34.23,250.49,735.81
1.3100,37.77,227.01,720.16
1.3200,45.64,187.87,641.88
1.3300,14.80,579.26,1095.89
1.3400,15.88,540.12,1142.86
1.3500,16.60,516.63,1103.72
