filename,duration_sec,mean_L,median_L,std_L,min_L,max_L,range_L,skew_L,kurtosis_L,delta_L_std,mean_f1,median_f1,std_f1,min_f1,max_f1,range_f1,skew_f1,kurtosis_f1,mean_f2,median_f2,std_f2,min_f2,max_f2,range_f2,skew_f2,kurtosis_f2,mean_f2_f1,std_f2_f1
common_voice_en_38377189.mp3,1.9600,18.8975,10.5332,15.3538,7.2069,91.2880,84.0811,1.9037,4.2594,13.2006,690.9222,814.0900,336.9209,93.9335,1189.8239,1095.8904,-0.3241,-1.4069,5382.1638,4414.8728,3496.4363,1315.0685,14465.7534,13150.6849,1.4710,0.9056,13.5599,19.5838
common_voice_en_38376995.mp3,3.3000,19.8026,15.2147,13.2994,7.2069,91.2880,84.0811,2.9359,11.6577,11.5823,561.4185,563.6008,242.5560,93.9335,1189.8239,1095.8904,0.2257,-0.7077,4140.1886,3225.0489,2355.0737,1941.2916,14434.4423,12493.1507,2.5724,6.9165,9.5520,9.2835
common_voice_en_32234687.mp3,2.7900,23.9723,21.0665,14.8927,7.4017,91.2880,83.8863,2.6669,8.8222,15.5706,456.2002,407.0450,209.8356,93.9335,1158.5127,1064.5793,0.9059,0.7735,6495.7740,5792.5636,4074.9191,1909.9804,14465.7534,12555.7730,0.6897,-0.7248,17.6574,17.8709
common_voice_en_157.mp3,0.4800,32.6876,24.4521,22.3396,7.6073,91.2880,83.6807,1.7133,2.1022,31.3314,368.8845,352.2505,208.2816,93.9335,1127.2016,1033.2681,1.3167,2.2873,11044.0313,8759.2955,5600.7294,2958.9041,21698.6301,18739.7260,0.3496,-1.0559,45.2739,43.3076
common_voice_en_37126165.mp3,1.3200,23.9325,19.5617,17.2087,7.2069,91.2880,84.0811,1.6825,2.9622,15.8714,534.6617,438.3562,304.1747,93.9335,1189.8239,1095.8904,0.4749,-1.0086,5975.4492,5448.1409,2969.1235,1659.4912,14465.7534,12806.2622,0.9671,0.2957,17.4430,18.0479
common_voice_en_38383316.mp3,0.7100,27.4636,21.0665,18.7614,7.2069,91.2880,84.0811,1.5648,2.3065,18.0807,466.5803,407.0450,301.0220,93.9335,1189.8239,1095.8904,1.1441,0.2989,9306.4690,10019.5695,4520.6952,2223.0920,14465.7534,12242.6614,-0.2421,-1.5862,28.6670,23.1761
common_voice_en_13387.mp3,1.2200,16.3825,13.0411,11.9475,7.3030,91.2880,83.9850,3.3705,14.1069,11.6520,665.2337,657.5342,247.6033,93.9335,1174.1683,1080.2348,-0.0865,-0.2138,9553.4952,5283.7573,6723.1572,2442.2701,21651.6634,19209.3933,0.7201,-1.0654,16.3053,11.9950
common_voice_en_37822711.mp3,2.0300,23.0570,21.0665,12.8698,7.2069,91.2880,84.0811,1.7470,4.7199,13.2998,482.7779,407.0450,245.0255,93.9335,1189.8239,1095.8904,0.9432,0.3882,7074.3158,6637.9648,3155.9855,1596.8689,14465.7534,12868.8845,0.6425,-0.1859,19.4577,15.6927
common_voice_en_32248895.mp3,2.4500,21.4211,17.1165,14.1044,7.2069,91.2880,84.0811,1.6679,3.3746,11.9232,560.5336,500.9785,294.0491,93.9335,1189.8239,1095.8904,0.4471,-0.9313,6391.6930,4383.5616,3925.5720,2598.8258,14465.7534,11866.9276,1.0605,-0.4752,17.8658,21.0567
common_voice_en_39139819.mp3,4.3500,22.4508,19.5617,12.9113,7.2069,91.2880,84.0811,2.8035,11.0067,12.6883,474.7779,438.3562,211.0714,93.9335,1189.8239,1095.8904,0.9290,0.8802,5393.2924,3381.6047,3761.4287,1534.2466,14465.7534,12931.5068,1.2947,0.3797,14.2905,14.7001
common_voice_en_37647998.mp3,0.8700,31.1838,27.3864,16.4812,9.7809,68.4660,58.6852,0.8748,-0.0044,19.3146,363.1374,313.1115,194.9008,125.2446,876.7123,751.4677,0.9422,0.2111,7164.4960,8735.8121,3186.5194,1941.2916,14340.5088,12399.2172,-0.0824,-1.1357,25.5272,17.8941
common_voice_en_33440035.mp3,3.2200,18.9826,16.1097,11.1769,7.8247,91.2880,83.4633,3.7034,18.1146,13.0779,537.6378,532.2896,186.2523,93.9335,1095.8904,1001.9569,0.1149,-0.2500,6573.1060,5604.6967,4439.5802,1377.6908,14465.7534,13088.0626,0.6100,-1.0875,14.0465,12.8215
common_voice_en_32914494.mp3,2.6800,18.7573,17.1165,9.1986,7.2069,68.4660,61.2591,1.7227,4.6788,6.6731,556.4740,500.9785,237.6374,125.2446,1189.8239,1064.5793,0.5993,-0.5249,7898.0051,8203.5225,4592.2578,1659.4912,14465.7534,12806.2622,0.1163,-1.6009,16.7023,14.2914
common_voice_en_32644522.mp3,1.8100,17.2944,10.9546,13.0650,7.4017,91.2880,83.8863,2.9135,11.2361,11.4458,666.8757,782.7789,276.4924,93.9335,1158.5127,1064.5793,-0.3261,-1.1080,5414.0619,2692.7593,4321.2894,1690.8023,14465.7534,12774.9511,1.0810,-0.4152,10.0775,11.0168
common_voice_en_32248910.mp3,1.6600,23.5380,21.0665,12.8842,7.4017,91.2880,83.8863,1.7763,4.8185,13.2967,462.6883,407.0450,217.0492,93.9335,1158.5127,1064.5793,0.7920,0.4453,4329.4273,3318.9824,2707.4087,1440.3131,14434.4423,12994.1292,2.5773,5.8249,11.9727,12.2177
